"","date","state","fips","cases","deaths","state_pop","cases_per_capita","seven_day_avg","seven_day_avg_percapita"
"213",2020-02-27,"California",6,26,0,39512223,6.58024227085376e-07,14.4285714285714,3.65167290855071e-07
"214",2020-02-27,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"215",2020-02-27,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"216",2020-02-27,"Nebraska",31,13,0,1934408,6.72040231429978e-06,12,6.20344829012287e-06
"217",2020-02-27,"Texas",48,10,0,28995881,3.44876570572213e-07,7.42857142857143,2.56194023853644e-07
"218",2020-02-27,"Utah",49,1,0,3205958,3.11919245355055e-07,NA,NA
"219",2020-02-27,"Washington",53,5,0,7614893,6.56608044262736e-07,3.28571428571429,4.31485286229798e-07
"220",2020-02-27,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"221",2020-02-28,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"222",2020-02-28,"California",6,27,0,39512223,6.83332851204044e-07,17,4.30246610017361e-07
"223",2020-02-28,"Illinois",17,2,0,12671821,1.57830512283909e-07,2,1.57830512283909e-07
"224",2020-02-28,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"225",2020-02-28,"Nebraska",31,13,0,1934408,6.72040231429978e-06,12.2857142857143,6.3511494398877e-06
"226",2020-02-28,"Oregon",41,1,0,4217737,2.37093967689308e-07,NA,NA
"227",2020-02-28,"Texas",48,11,0,28995881,3.79364227629435e-07,8.42857142857143,2.90681680910866e-07
"228",2020-02-28,"Utah",49,1,0,3205958,3.11919245355055e-07,NA,NA
"229",2020-02-28,"Washington",53,7,0,7614893,9.19251261967831e-07,4.14285714285714,5.44046665246267e-07
"230",2020-02-28,"Wisconsin",55,1,0,5822434,1.71749477967462e-07,1,1.71749477967462e-07
"231",2020-02-29,"Arizona",4,1,0,7278717,1.37386849907752e-07,1,1.37386849907752e-07
"232",2020-02-29,"California",6,28,0,39512223,7.08641475322712e-07,19.7142857142857,4.98941446910889e-07
"233",2020-02-29,"Illinois",17,3,0,12671821,2.36745768425864e-07,2.14285714285714,1.69104120304189e-07
"234",2020-02-29,"Massachusetts",25,1,0,6892503,1.45085174427926e-07,1,1.45085174427926e-07
"235",2020-02-29,"Nebraska",31,13,0,1934408,6.72040231429978e-06,12.5714285714286,6.49885058965253e-06
"236",2020-02-29,"Oregon",41,1,0,4217737,2.37093967689308e-07,NA,NA
